Arabic,English
يطيرون,They fly
اللمسات,touches
بسرقته,By stealing it
كالآخرين,Like the others
لكبار,For adults
نظامه,His system
تقدري,I appreciate
تستهلك,consume
أفي,Afi
اتذكرين,Do you remember?
أعمارهم,Their ages
الأوشام,Tattoos
معدومة,Nonexistent
الاجرة,Fare
الصدارة,Leading
الحفار,excavator
وبفضل,And thanks
مانينغ,Manning
طعامها,Her food
اللوحه,The painting
للعلوم,For science
تطهو,cook
مصلحته,His interest
هاكم,Here you go
هامبتونز,Hamptons
ندعم,We support
هاهنا,Here
بارسال,Send
توثيق,documentation
أكوام,piles
مضطرون,Forced
نوقفهم,We stop them
وانظروا,And look
تربة,soil
للامر,For the order
بالضربة,By blow
بوردن,Borden
علشان,Because
لدور,For the role
مطفأة,extinguisher
جوار,neighborhood
اراهنك,I bet you
الدبابيس,pins
تحمينا,Protect us
ستعاني,You will suffer
أرينا,Arena
طµظ,µظ
متطرفة,extremist
أحــد,One
انتباههم,Their attention
شينا,Sheena
سألتكِ,I asked you
صادقه,Honest
لمعْرِفة,To know
مخلصين,Sincere
شبابك,Your youth
أستراحة,break
تطوّر,development
سرقتِ,You stole
مزري,Miserly
العائلةِ,family
سأستعمل,I will use
أناقة,elegance
يداكِ,Your hands
u200fهل,u200f هل
دوس,Dos
أحبكما,I love you both
خانة,Khana
بزيارتك,By your visit
الأعتذار,Apology
نجحتِ,You succeeded
واجعل,And make
رمت,Threw
ساتو,Sato
أخبارنا,Our news
رحلتِ,You left
بقبلة,With a kiss
المقنع,The Masked
متواجدون,We are present
دميتي,My doll
ثلاثتهم,All three of them
الذهبى,Golden
يقتلوك,They will kill you
حركته,His movement
صاعقة,lightning
لذيذه,delicious
كيفيه,How
تشبهك,You resemble
فريدمان,Friedman
وبإمكانك,And you can
كريماً,Generous
نسمعه,We hear it
طبول,drums
يتوفر,Available
جاكيت,jacket
أتو,Ato
بغسيل,Washing
أمطرت,It rained
إفتحها,Open it
أسلحه,arms
ماريوس,Marius
المؤمنة,The believer
نسبيا,relatively
النصفي,Half
هيستر,Hyster
لأمه,For his mother
الاضرار,Damages
نعـــم,Yes
علبه,can
مذياع,radio
.لدي,.I have
قبيحاً,ugly
وجدتنا,We found
حاولتم,You tried
والمضي,And proceed
والكتابة,Writing
زياده,more
غربي,western
اليشيا,Alicia
الجوهر,The essence
اتظنين,Do you think
خطرون,Dangerous
وتعني,It means
ووضعه,And his position
مجتمعة,Together
وقفوا,They stopped
كأنى,As if
حذائى,My shoes
سولانو,Solano
جبانا,coward
واترك,And leave
بالتلاعب,By manipulation
مقعده,His seat
اقسمت,I swore
أنهضي,Get up
شكلت,Formed
أتصلوا,Call
سينزل,It will be released
المعبر,crossing
همجي,barbaric
ريوزاكي,Ryuzaki
للبناء,For construction
ساندس,Sands
ورحلت,And she left
تـرجـمــة,Translation
اصدار,Issue
باتلر,Butler
و3,and 3
إختفيت,I disappeared
تزوجتي,Did you get married?
آبو,Abu
يعرفونني,They know me
لوران,Laurent
ارفعه,Lift it up
فاتتك,You missed it
ألفان,Two thousand
لمشاركة,To share
وارى,I see
ونلعب,And we play
جنونها,Her madness
مخدّر,anesthetic
الجدّة,Grandmother
أذكرها,I remember her
الاجهزة,Devices
إشتريتها,I bought it
تتباهى,She boasts
أعارض,I oppose
وسيطة,mediator
مداخل,Entrances
لاتحاول,Don't try
يعرفُ,He knows
أجَل,Okay
الرياضه,Sports
ياقوم,O people
تتزوجها,She marries her
عالما,world
ترسلني,Send me
يرونك,They see you
يوو,Yoo
أخذناه,We took it
استدعوا,summoned
الشهادات,Certificates
يومَ,day
العقيدة,Doctrine
قاذفة,bomber
نهم,insatiable
تهنئة,congratulations
غزل,yarn
قلماً,rarely
أولويتنا,Our priority
المنتجين,Producers
يستأجر,rent
تاكد,make sure
فلذا,Therefore
دعنـي,Let me
عصرية,Modern
حقنه,Injection
تربي,Raise
لسؤال,To ask
ستعطينا,It will give us
شاطىء,beach
إصبعه,His finger
عطلات,Holidays
وتلعب,And play
سألغي,I will cancel
انصتِ,Listen
تخصصك,Your specialization
دينار,Dinar
أطفالكم,Your children
قتالك,Your fight
لكوكب,planet
مغرماً,in love
بتشريح,dissection
الرومنسية,Romance
داوني,Downy
اكرهه,I hate him
مقرفاً,disgusting
وأنظري,And look
ومنزل,and home
ديفس,Davis
كاذبه,Liar
سيصلح,It will fix
تُجيب,She answers
يحظوا,They are fortunate
ثانٍ,second
تواضع,humility
ألَيسَ,Isn't it
يراهن,He bets
يستند,Based
ديزل,diesel
قلقنا,Our concern
مؤمناً,Believer
معصمي,My wrist
لنجلب,Let's bring
المخدّر,anesthetic
الملكات,queens
تلائم,Suitable
الصخب,Noise
حالتهم,Their condition
فقيراً,poor
عَمِلتْ,She worked
جميلون,Beautiful
أتظنون,Do you think
سكرانتون,Scranton
ستكونوا,You will be
سأوفر,I will provide
سأتولي,I will take over
سكوتر,scooter
سأحمي,I will protect
بلّغ,Report
مستجدات,Updates
رتشارد,Richard
اور,Or
غادرتُ,I left
يقرأون,They read
تراكم,accumulation
تنهى,It ends
رسائله,His letters
تصاميم,Designs
لأمرٌ,For a reason
للشقة,For the apartment
مستشفي,hospital
يَجب,He should
نزور,We visit
كشريك,As a partner
الإصطناعي,artificial
بالألعاب,games
بإيذائك,By hurting you
أبًا,Father
تركناها,We left it
فلدى,I have
الاعصار,hurricane
تنانين,dragons
الإغاثة,Relief
وبدأنا,And we began
شيا,Shea
تكرهها,She hates it
باتى,Patty
بشخصٍ,In person
اغراض,items
طباخة,cook
.جيد,.good
وَصلَ,receipt
الناظر,The observer
سنغير,We will change
سيفاً,sword
غرايسي,Gracie
ناثين,Nathan
المنضدةِ,The table
تمسكين,Hold
اتاكد,I'm sure
يثيرني,It excites me
ستعطي,It will give
ورجالك,And your men
الأميره,Princess
كُنتم,You were
مورينو,Moreno
تناديه,She calls him
لإخراجه,To remove him
نفسيّ,myself
وأطلقت,And launched
للوحة,For the painting
رافق,Accompany
للبداية,To begin
اثبتوا,Prove it
أردْ,I want
يتصور,imagine
إنغريد,Ingrid
يُعيد,He returns
الشهري,Monthly
فايس,Vice
أبراهام,Abraham
سيمكو,Simco
مسافرة,traveler
تمس,Touch
بإنتظام,regularly
الاصغر,smaller
ميرتل,Myrtle
نظمت,Organized
لقرار,decision
كرجال,As men
التوصية,Recommendation
بنصيحتك,With your advice
المعادلات,equations
الأحباء,loved ones
الوليمة,The feast
إحباط,frustration
تغييراً,Change
أقومُ,I stand
بالمقعد,In the seat
السّبت,Saturday
أرانب,rabbits
وهن,They are weak
مذعوراً,Terrified
مساعدين,assistants
سجني,My prison
وقريبا,And soon
أيزاك,Isaac
العلني,public
ويلمينا,Wilmina
بنظرك,In your opinion
أأكل,I eat
مقام,Maqam
حجرتي,My room
أثبات,proof
تَعْرفُين,You know
محققاً,Detective
غريف,Greef
مثبتة,Proven
عصور,Ages
ويفعل,And he does
تجدون,You all do well
بطولي,heroic
أتجاهل,I ignore
بأسلحة,With weapons
إيرنست,Ernest
الجزاء,punishment
مسرحيّة,a play
النورس,Seagull
فريقى,My team
بولى,Polly
جميلُ,Beautiful
إختطف,kidnapped
دمّرت,destroyed
إحذروا,Beware
ستنظر,You will look
لخسارة,loss
بزوجي,With my husband
بخيّر,fine
يبد,It seems
البروفة,rehearsal
قبّعة,hat
سوات,SWAT
فخذ,thigh
صالحا,Saleh
لتشكيل,To form
ستارلينغ,Starling
افساد,corruption
يتشاركون,They share
سمعتيني,Did you hear me?
مشاغب,rioter
أمنيات,Wishes
لتهريب,to smuggle
رفيقه,His companion
بصوره,In pictures
نساعدها,We help her
الجامح,The untamed
ايملي,Emily
حركاتك,Your movements
مخبولة,crazy
يقلب,flip
.إنّها,.that it
توليدو,Toledo
نخبنا,Our toast
بالتأكيـد,Definitely
لاثبات,To prove
شاهدناه,We watched it
أودك,I love you
قدميّ,My feet
الغشاء,membrane
تلبسي,Dress
حصولنا,Our acquisition
آنفاً,above
الانفلونزا,flu
ستعلمين,You will know
تأخرتِ,You're late
مدرسته,His school
بمقدورهم,They can
مظاهرة,demonstration
المكعب,cube
ساده,plain
السَنَةِ,The year
تكلّمْ,to talk
قررتم,You decided
ارتكبتها,I committed it
ممكنه,It's possible
تسميم,poisoning
كوبير,Cooper
الرامي,The archer
النفاذ,Access
إديث,Edith
اللفة,The wrap
لثانيه,For a second
وجدو,They found
مُهمّة,a task
بدوا,They started
أحضروها,Bring it
ايصال,receipt
ناريّة,fiery
باروكة,wig
ووقع,And it happened
الستين,sixty
ديانة,religion
تسحق,crush
الصفة,The attribute
احدهما,One of them
كرهي,involuntary
أتملك,Do you own
تحجز,Book
شاعري,poetic
ناندو,Nando
تشاجر,quarrel
سيضرب,It will hit
تأخرتم,You are late
عقبات,obstacles
سيتحمل,He will endure
لتجلب,To bring
آخرا,Lastly
تأييد,support
صربيا,Serbia
عباقرة,geniuses
يرها,He sees it
فارقت,I left
فرقتنا,Our group
نى,ny
وأعطني,And give me
الطبّ,Medicine
تحتي,Under me
الكاملِ,The perfect
الغابةِ,the forest
جذري,radical
إزرا,Ezra
تؤذني,It hurts me
لأنة,Because
إحترق,Burn
سيفر,Sever
تانجو,Tango
ريم,Reem
اختلاق,fabrication
النحيب,wailing
المهزلة,The farce
جاءني,He came to me
التخفيضات,Discounts
جافين,Javin
مالكي,Maliki
وستجد,And you will find
بالمشاهدة,By watching
امراه,woman
اكتشافها,Discovering it
وجعلني,And made me
منكى,Menky
الزمرد,Emerald
كلاما,words
يضعنا,puts us
اخفضي,Lower it
الجنوبى,Southern
يتلقون,They receive
مجاري,sewers
حكومتك,Your government
بصف,In a row
أعلنكما,I announce to you
أفاتار,Avatar
بحفر,digging
توريتو,Torreto
تتّصل,Call
إعتنى,care
إرين,Erin
ستارة,curtain
اعتيادية,Ordinary
برأي,In my opinion
شاهدها,Watch it
أضاع,lost
المثقاب,drill
الرئيسَ,President
اهدؤوا,Calm down
مكوك,shuttle
كناية,metaphor
والغير,and others
مضوا,They went
احافظ,I keep
طالت,It lasted
عصى,stick
الأتصالات,Communications
يحجب,Conceals
انخفضي,Lower
سرقتهم,They stole from them
ازعاجك,Your annoyance
الانزلاق,slip
ولكنكَ,But you
نشغل,We operate
غيمة,cloud
تأبى,She refuses
كليتي,My kidney
الأحرار,The free
المغيب,The sunset
لإنهم,Because they
تقبلوا,Accept
دبرت,I planned
متزن,balanced
بتعطيل,Disabling
الدّكتورِ,The doctor
ينج,Ying
إحتياطي,Reserve
اركز,I focus
دائرية,circular
وبعضها,And some of them
الأنضمام,Join
وl,and l
التقيته,I met him
نَتحدّثُ,We talk
أكرّر,I repeat
شؤم,bad luck
بالدعم,With support
يُصاب,He is injured
سنوقف,We will stop
يرتجف,He is trembling
شفاهي,oral
أنوار,Anwar
بالقبو,In the basement
أقولُ,I say
ستأخذه,You will take it
تورو,Toro
صدّق,sincerity
بمحل,In the shop
لأنهي,To finish
أتأكّد,I'm sure
ديونك,Your debts
اختاه,My sister
المستديرة,round
بالطلب,By request
المعنويات,morale
تتركوني,Leave me
نقال,Mobile
اجر,Wage
الأطبّاء,doctors
لألعب,To play
ينتقلون,They move
الشنيع,The hideous
استشعار,Sensing
تعتنين,You take care
لأعادة,To return
يوغا,Yoga
ستدخلين,You will enter
والدايّ,My parents
بالولايات,In the states
التلويح,waving
والشعر,And poetry
الآنَ,now
الجبلية,mountainous
أجدادي,My ancestors
الترحال,Travel
ليفربول,Liverpool
أطلع,Look
المجالات,Fields
معْرِفة,knowledge
أحراراً,free
المشعة,radioactive
الدودي,Worms
منحتنا,Our gift
غشاء,membrane
أعدائه,His enemies
أقدمك,I present to you
اٍلى,to
وآخرون,and others
مُشتبه,Suspect
جنودي,My soldiers
الإشعاعي,radioactive
المقاول,Contractor
قاتمة,gloomy
تشامبرز,Chambers
ستحمل,It will carry
ضفة,Bank
الألة,god
إناء,vessel
أوم,Om
ماءً,water
بطلك,Your hero
قدرت,I estimated
نلعبها,Let's play it
لايقاف,To stop
اعجبت,I liked it
وترحل,And she leaves
بيدفورد,Bedford
قواته,His forces
أخفقنا,We failed
سيشعرك,It will make you feel
المستحسن,Recommended
رشيقة,Slender
ورحل,And he left
تستعمله,Use it
دافعاً,Motivator
بسلاحك,With your weapon
أدفعه,I pay him
الأربعينات,the forties
وإننا,And we
إحساسي,My feeling
متواجدا,Present
نمتي,You slept
انكسرت,It broke
تتماشى,It aligns
اهي,Ah
الخيزران,Bamboo
دة,da
إخترقت,I penetrated
لأعضاء,For members
لحرب,war
المرغوب,Desired
قرين,companion
لشاب,For a young man
نر,نر
بصفته,As
لمجرّد,Just
مختبئين,hidden
كفاكِ,Enough of you
ساند,Sand
الأشرعة,sails
أبوت,Abbott
نشعل,Light it
معصمك,Your wrist
أولادهم,Their children
ودودين,friendly
تَرْك,to leave
الأمَر,The order
ووفقاً,According to
أتعرفها,Do you know her?
مذنبون,Guilty
شلال,waterfall
هاريسن,Harrison
نفسنا,Ourselves
زوال,demise
إدخلْ,Enter
القطّة,The cat
تحدثى,Speak
الانفجارات,explosions
جـ,C
التماس,petition
هاتفني,Call me
اليانكيز,Yankees
لارتكاب,to commit
سورين,Surin
تقلص,Shrinkage
فرخ,chick
الفيلا,The villa
درسًا,Lesson
تتأرجح,swinging
الفاتح,The Conqueror
سأغني,I will sing
مسلحاً,armed
بيزو,Peso
تأخذنى,Take me
يتفوق,Outperforms
بزيارته,By visiting him
شبر,span
المتواجدون,Those present
زوكو,Zuko
رعشة,jerk
ووفقا,According to
التعيس,unfortunate
للأدوية,For medicines
سمعناه,We heard it
اغنياء,rich
لنستمتع,Let's have fun
خزي,shame
المراقبين,observers
أركان,Corners
سبيكتر,Spectator
تملكينه,You own it
ساندى,Sandy
إتخذ,Take
تلامس,contact
الرغوة,foam
سيظنون,They will think
ستتصرف,You will act
حسّاسة,sensitive
الإذلال,humiliation
وارويك,Warwick
معلمه,female teacher
لحالات,For cases
استرجع,Retrieve
باتيل,Patel
فسد,mess
ستزداد,It will increase
عُدنا,We're back
ترافق,Accompanying
قرائته,Reading it
بتصرف,With permission
السناتور,Senator
بالبوا,Balboa
يلتهم,Devour
المختطف,kidnapped
تحتجز,detain
الثمل,drunk
ردائي,My robe
أحذيتي,My shoes
الأنتحار,suicide
يؤدّي,leads
مستاءً,dissatisfied
اسكن,live
بلاءاً,calamity
طارئه,Emergency
البريّة,The wilderness
للأسبوع,For the week
لكنَّ,but
أورليانز,Orleans
المالحة,salty
الدرامية,dramatic
روبرتسون,Robertson
المساحات,spaces
ميلادكِ,Your birthday
كفء,efficient
بجسدك,With your body
متكامل,Integrated
تقريره,His report
حددوا,Specify
تصرفه,His behavior
يستقبل,Receives
أُخذت,It was taken
البناتِ,girls
واضاف,He added
اللّعبة,The game
ووالدتي,And my mother
التركية,Turkish
نقالة,stretcher
أعوض,I compensate
يأتيني,He comes to me
المهروسة,mashed
أبلغك,I informed you
اعماق,Depths
المواصلات,Transportation
نانسى,Nancy
هبطنا,We landed
ليلـة,night
للسرعة,For speed
أتمسك,I hold on
مكثفة,intensive
مقلوبة,Upside-down
حبست,I imprisoned
لملك,For the king
البكم,mute
الروث,Dung
التابعين,Followers
ضربهم,Hit them
الوراثة,Heredity
اللقـاء,The meeting
أفكـر,I think
برؤيتكم,By your vision
القطعه,piece
قو,Qaw
إثنى,I praise
إستمريت,I continued
سينظر,He will look
اسمائهم,Their names
أعليّ,higher
الشد,tension
سليتر,Slater
يقررون,They decide
مهاجر,immigrant
سأقلك,I will tell you
يصنعوا,They make
بالبيع,By sale
مهمٌ,important
للجري,For running
نزرع,We plant
الياقات,collars
قواهم,Their forces
ألمع,The brightest
بخارية,Steam
أختنا,Our sister
بجعة,swan
اوفر,Over
جواد,Jawad
إخْبارك,your news
الدائري,The ring road
أنجيلوس,Angelos
الباستا,Pasta
ترتد,bounce
كتبتِ,You wrote
اسمهم,Their name
جادون,Jadon
حظت,I was fortunate
متسلسلة,sequential
خيرا,Good
يظنوا,They think
نسيتَ,I forgot
للسرطان,For cancer
لإفساد,To spoil
تنبأ,Predict
عنْ,on
كنتٍ,I was
كرسيك,Your chair
أعجوبة,marvel
طولك,Your height
يتزوجون,They get married
إيصالك,Your receipt
عنواناً,Title
القناصة,Snipers
يراهم,He sees them
ربطها,Link it
أمنحه,Give it to him
مزيفه,fake
المتاجرة,Trading
تأكلون,You eat
تونغ,Tong
المومسات,prostitutes
الزيجات,marriages
هاجمتني,She attacked me
نوعَ,type
قدومنا,Our arrival
ركلت,kicked
عمكِ,Your uncle
أميز,distinguish
أنقذتها,I saved her
نضج,maturity
مستخدمة,Used
وأمه,And his mother
تشاز,Chaz
اللّطيف,The kind one
الروحانية,spirituality
يارباه,Oh God
كريستو,Christo
الويب,Web
متحدين,United
أهلاَ,Hello
كسولة,lazy
وليسَ,And not
مجمد,frozen
تُخفي,hide
لإيجادها,To find it
التوليد,Obstetrics
المفترسين,predators
سفورزا,Sforza
لوحدى,alone
كميه,amount
عرفناه,We knew him
لحملة,For the campaign
يَدْخلُ,He enters
ترددات,Frequencies
سيكشف,It will reveal
ضيوفك,Your guests
بدقّة,accurately
الإستراتيجية,strategy
أرادنا,He wanted us
أُرسل,Send
شارعي,street
ماالأمر,What's wrong?
بجلسة,In a session
اركبوا,Get on board
أضعنا,We lost
الابله,idiot
قطّة,cat
فعلتة,I did it
سعد,Saad
مغلف,envelope
مدخن,Smoker
فاعلية,effectiveness
التبت,Tibet
أتعاطف,I sympathize
بالشمس,In the sun
يكرهونني,They hate me
اليوجا,Yoga
تفاوض,negotiate
تعلمتي,You learned
أسكب,Pour
طبقك,Your dish
سيغدو,It will become
قمل,lice
الماكرة,The cunning one
المدرجات,Terraces
كتبنا,our
سيتكلم,He will speak
أيمن,Ayman
أبدل,Replace
النظره,The look
كلاريسا,Clarissa
لضربة,For a blow
فتيل,fuse
الغائط,feces
الباخرة,steamer
تبعت,Followed
تنبح,barking
سيلقى,He will receive
تواجدها,Her presence
الجنسيّة,Nationality
ستقلع,It will take off
بخصوصي,Regarding me
اطفئ,Turn it off
تُحضر,Prepare
بالعاهرة,with the whore
التنوير,Enlightenment
حمالات,suspenders
بصرك,Your sight
تخجلي,You're embarrassing
الخَطِّ,The line
القيل,The saying
مهاراته,His skills
طرفي,My two ends
تهزأ,mock
الأكمام,Sleeves
سينت,Saint
الصافي,net
لازانيا,Lasagna
لنتحدّث,Let's talk
شوت,Shoot
نجاحي,My success
اللقطاء,foundlings
أسقف,bishop
استعير,borrow
المفارقة,The paradox
خضار,vegetable
أقراط,Earrings
ستبقون,You will remain
روزلين,Roselyn
هين,Easy
أنقذتِ,You saved
شيكا,Chica
بيومين,Two days
باركمان,Parkman
اولى,first
حصّة,a class
المضيّ,Proceed
لفك,To unpack
ليدا,Lida
فلتبدأ,Let's begin
تريدة,Trida
يأكلوا,They eat
بقصص,stories
ميث,meth
أنّـك,That you
رملية,sandy
غالياً,expensive
تسونامي,tsunami
سترتدي,You will wear
اللعوب,playful
أيقظني,Wake me up
تضحكون,You're laughing
اصلاحها,Fix it
أناسًا,people
شديده,very severe
جنحة,misdemeanor
لأغير,To change
لَنا,for us
وفشلت,And it failed
دبّ,bear
اتيتم,You came
أمناء,Trustees
الالمانية,German
اعتنوا,Take care
بالأرقام,In numbers
كضابط,As an officer
خيارٌ,option
مسارك,Your path
كاربنتر,Carpenter
المضيئة,Illuminated
بأطلاق,By launching
ستذهبان,You will go
ودم,blood
توي,Toy
لينين,Lenin
ميتس,Mets
بدله,suit
صدمات,shocks
نجمه,a star
كيساً,bag
أمبير,Ampere
مقطعية,Segmental
إخوتك,Your brothers
نخلي,Let's
كأنكم,As if you
الأنيق,elegant
الكليَّةِ,The college
سأقتلهم,I will kill them
بالعجز,Incapacity
أقنعه,masks
تحذيراً,Warning
أيعلم,Does he know?
سنتأكد,We will make sure
معاملته,His treatment
تينك,Those
ولكنهما,But they
إتصلتُ,I called
سيأخذها,He will take it
ذكائي,My intelligence
البجع,Swans
ذهابا,Going
أخبرْ,Tell
يعتنى,Take care
تبغ,tobacco
الحريّة,Freedom
ونتناول,And we discuss
خارقين,Superheroes
المحتاجين,those in need
حطّم,smashed
أبتاع,I bought
بائساً,miserable
تلقائي,automatic
لأبني,To build
فاشلين,Failures
منيعة,impregnable
ايرلندا,Ireland
افترضنا,We assumed
كيرين,Kirin
مبتدئة,beginner
ميرفيلد,Mirfield
متهمة,Accused
أراقبه,I'm watching him
ناتجة,resulting
مطاطي,rubber
عرضية,Accidental
القتيل,The victim
السباك,plumber
حزني,My sadness
التمهيدية,Preliminary
حزناً,Sadness
احرار,Free
قدرا,Destiny
الجوزاء,Gemini
وسلم,Peace
المتشردين,homeless people
حساباته,His accounts
تسخير,Harnessing
جمعه,Friday
امرها,Her order
سُررت,I was pleased
أخوكم,Your brother
فرحان,Farhan
لحديقة,For the garden
السياسات,Policies
أرادك,He wanted you
دمرنا,We destroyed
الشرعى,Sharia
تبذلونه,You are doing it
الإسطبل,The stable
محتارة,Confused
ورفض,He refused
عصبيا,nervously
ببندقية,With a rifle
أبحرت,I sailed
بداخلهم,Inside them
سيقطع,He will cut
تخرجون,You graduate
تتوتر,tense
منفتحة,open
التواليت,toilet
زواجهم,Their marriage
إستأجرت,I rented
اخراجها,Taking it out
مغاير,Different
الاسف,Sorry
وليسوا,And they are not
تنساه,Forget it
الازهار,flowers
كتذكار,As a souvenir
والحزن,And sadness
الخاسرة,The loser
أحرقوا,Burn
اسرعى,Hurry up
بالحماس,With enthusiasm
صنبور,faucet
غروفر,Grover
يوصلني,It delivers to me
أتفعل,Do you
مُزعج,annoying
عادتك,Your habit
أنهيتُ,I finished
يتوسل,He begs
القضيـة,The case
نمنح,We grant
أليستر,Alastair
ــم,-m
السويدية,Swedish
توش,Tosh
أصابهم,They were hit
مدهشا,Amazing
لدليل,For the guide
تقعي,Fall
المسافرون,travelers
ألمَ,pain
الباحثين,Researchers
أحظي,I have a good time
لأنْ,because
المقبله,The next one
الفوج,The regiment
البدائل,Alternatives
العشيقة,mistress
أوديت,Odette
زاحف,creepy
وقول,And saying
لسجلات,For records
تحقيقك,Your investigation
صدقًا,Honestly
هيث,Heath
تشابي,Chappy
مسرورا,Happy
للانطلاق,To get started
تعدد,multiplicity
ليباركك,May God bless you
بسـبب,Because of
فعّالة,Effective
بالطبيعة,by nature
بالإنترنت,Internet
أعملُ,Work
ينقصه,He lacks
الصومال,Somalia
نيشا,Nisha
عملتها,I did it
أختنق,suffocate
فتحته,I opened it
البذيئة,obscene
حلمتُ,I dreamed
التحيّة,Greetings
العشوائي,random
تعودون,You return
ويمكنها,And she can
انسحبوا,Withdraw
بالأفضل,Best
للبيض,For eggs
بالإنتظار,Waiting
نكت,Jokes
المرسوم,decree
هارفى,Harvey
أنانياً,selfish
مثالا,For example
صعيد,level
كارثه,disaster
كراف,Kraf
اصلي,original
كأنما,as if
وهاهو,And here it is
لقولك,To say
ضدى,Against me
للحديقة,For the garden
معتمدة,Accredited
محدّد,specific
واحتاج,And I need
انطباعاً,impression
يؤذيها,It hurts her
.بالتأكيد,.certainly
إيقافنا,Stop us
بروان,Brown
البنتاجون,The Pentagon
لجَعْل,To make
صفع,Slap
جماهيرك,Your fans
لملايين,for millions
تمكنني,I can
التخرّج,Graduation
يدعنا,Let us
تطفئ,Turn off
تساعدينني,You're helping me
ابتلعت,I swallowed
بتوظيف,By employing
مثاليين,Perfect
سأرسلها,I will send it
بالأمام,In front
أُفضّلُ,better
أخلاقياً,morally
يفرغ,Empty
ناموا,Go to sleep
مايمكنك,What you can
رافقني,Accompany me
ضغطه,Press it
مِنْك,From you
والقتال,And fighting
دراستها,Her study
مكانتك,Your position
الصحفيون,journalists
إنتخابات,elections
مفاصل,joints
روهيليو,Rohelio
سرقتك,I stole from you
ووصلت,And it arrived
لمستك,Your touch
الجماجم,skulls
باتمور,Batmore
شريطاً,tape
نساعدهم,We help them
المطبخِ,the kitchen
يثمل,drunk
ويظهر,And it appears
فرانشيسكو,Francesco
طبيّة,medical
فصلنا,Our chapter
الخس,lettuce
أرق,insomnia
تفتحه,Open it
موطننا,Our homeland
نواياه,His intentions
تجتاز,Passing
صبيحة,Morning
ديارك,Your home
للغة,language
هيناتا,Hinata
تُخبرنا,It tells us
يفاجئك,It will surprise you
الفاي,The Fay
حَدث,It happened
تلميحاً,hint
وتأكل,And eat
فلستُ,I am not
الفايد,Al-Fayed
أحكي,Tell me
لزيارتها,To visit it
رالي,Rally
مينج,Ming
تدريجيا,gradually
كراسوس,Crassus
الإيطاليين,Italians
تصدقها,Believe it
شفة,lip
أرتجف,dither
وأصدقائه,and his friends
زكية,Zakia
هيوجو,Hugo
جـدًا,Very
إحصاء,count
روستي,Rusty
أغيب,I'm gone
التعليمية,Educational
إصنع,Make
ضخما,huge
قطب,pole
تصبحى,You become
الاحداثيات,Coordinates
ولدان,Two boys
انبطحي,Lie down
أحسنتي,Well done
فلاك,Flak
المثالى,ideal
مزيفاً,fake
كورال,choir
قُلته,I said it
مرتعب,terrified
الرأسمالية,capitalism
إعرفْ,I know
أرضه,His land
يتقاعد,He retires
لباريس,Paris
والسلطة,and authority
هراءً,prattle
غالون,gallons
الآخران,The other two
واللحم,meat
بعدوى,Infection
ميكانيكا,Mechanics
أنابيل,Annabelle
الكيان,entity
متوفي,deceased
سنيك,Snake
تريدنني,Do you want me?
لتكريم,To honor
شقّ,incision
تَعطيني,Give me
نوستراداموس,Nostradamus
آيلين,Aileen
تستقل,Independent
للبدأ,To begin
برويلز,Broyles
بتكوين,Bitcoin
عمراً,Age
مدتها,Duration
إستبدال,replacing
المكانة,Status
أظافرها,Her nails
بعدين,after
اللّورد,Lord
الأنفاس,breaths
بأرسال,By sending
تميمة,amulet
تلتهم,devour
العمارة,Architecture
أساعدهم,I help them
املكه,I own it
تجهزوا,Get ready
ذوقي,My taste
بولسون,Paulson
يقتلونا,They are killing us
مطبوعة,printed
رأيتكم,I saw you
الموعودة,The Promised
أعدته,I prepared it
إنتباهكم,Your attention
بنسات,Pennies
المدخن,smoker
نحنحة,splutter
انتخاب,election
المنطقية,Logic
إطلب,Request
المشتعلة,burning
بالسيّارة,By car
أسراراً,secrets
أحلامها,Her dreams
كاملين,Complete
ستمكث,You will stay
سيبل,Sable
أسطورية,Legendary
بالانجليزية,In English
كـنت,I was
ارضية,floor
سننجو,We will survive
واكتشف,And discover
كيتنغ,Keating
تحتك,under you
زواجهما,Their marriage
فأنتي,So you
أمثاله,His likes
ضعوها,Put it
الكامله,The complete one
الدوافع,Motives
للتسكع,For loitering
سخرت,I mocked
العالمَ,the world
والثقة,Trust
تكرهينه,You hate him
عادتي,My habit
أدعمك,I support you
أيدى,hands
روبنز,Robbins
عائدٌ,Returning
واجلسي,Sit down
لمُقَابَلَتك,To meet you
بعدئذ,then
قولكِ,Your saying
وراثياً,genetically
أشعُر,I feel
أقترف,I committed
القهري,Compulsive
مُقرف,disgusting
عوناً,Help
عقوبته,His punishment
يراقبوننا,They are watching us
هزلية,comic
المختبرات,laboratories
المقرمشات,Crackers
هيى,Hey
شراؤه,Buy it
ملفاتي,My files
تختلط,Mix
العائق,obstacle
سأستقل,I will resign
دارلينغ,Darling
بروكلن,Brooklyn
متمسك,clinging
المستذئب,werewolf
المستخدمين,Users
ينفتح,It opens
نريدُ,We want
الصادقة,honest
دَعا,He prayed
لإنكِ,Because you
افترقنا,We parted ways
لنواصل,Let's continue
قَول,say
يذكّرني,It reminds me
نقدًا,in cash
العابرة,The passerby
اظل,I remain
انفي,nasal
عجله,wheel
حصانا,horse
منفعل,edgy
مستلقي,lying down
الملكيه,Royalty
أتركنى,Leave me alone
يبدي,He shows
ليحصلوا,To obtain
تتحدثُ,She speaks
